,prices,names,sku,ids,urls,locs,shops,brands,parent_id
10,10700000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,آسان لایف,7328,0
11,10890000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,بالتیک,7328,0
12,11000000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,گجت دریم,7328,0
13,11110000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,شیائومی 360,7328,0
14,11130000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,شیراز,هایتل,7328,0
15,11150000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,قائم آی تی,7328,0
16,11400000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,عسلویه,می آنتن,7328,0
17,11484900,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,درگهان,دنیای جهاز,7328,0
18,11490000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,بیتکس,7328,0
19,11490000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,دومارکس,7328,0
20,11500000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,دیجی هیرا,7328,0
21,11500000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,لار,اطلس موبایل استور,7328,0
22,11500000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,تهران,گالریاشو,7328,0
23,11500000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,لار,اطلس موبایل استور,7328,0
24,11670000,%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1,MAF10,71026,https://zardaan.com/product/%d8%b3%d8%b1%d8%ae-%da%a9%d9%86-%d8%a8%d8%af%d9%88%d9%86-%d8%b1%d9%88%d8%ba%d9%86-%d8%b4%db%8c%d8%a7%d8%a6%d9%88%d9%85%db%8c-maf10-%d8%ad%d8%ac%d9%85-6-5-%d9%84%db%8c%d8%aa%d8%b1/,مشهد,آیمی لند,7328,0
